timestamp,location_id,location_name,process_area,equipment_id,CO2_ppm,CO_ppm,SO2_ppm,CH4_ppm,H2S_ppm,NOx_ppm,temperature_C,humidity_percent,pressure_kPa,wind_speed_ms,vibration_level_mm_s,equipment_age_months,maintenance_days_ago,production_rate_percent,leakage_detected,leakage_severity,predicted_leak_location,warning_level
2024-01-15 08:15:00,LOC001,Extraction_Zone_A,Open_Pit,EQ_EX_001,412,13,0.9,1.3,0.1,19,22.8,64,101.1,3.1,1.6,36,15,85,0,none,none,safe
2024-01-15 08:30:00,LOC002,Crushing_Station,Processing,EQ_CR_001,425,18,2.1,1.8,0.3,22,28.5,58,100.9,2.5,3.2,48,7,92,0,none,none,safe
2024-01-15 08:45:00,LOC003,Smelter_Unit_1,Smelting,EQ_SM_001,580,45,8.5,2.5,1.2,35,165.2,45,99.8,1.8,2.8,60,3,95,1,medium,Smelter_furnace_seal,warning
2024-01-15 09:00:00,LOC004,Refinery_Section_B,Refining,EQ_RF_001,395,10,1.5,1.1,0.2,16,35.5,55,101.5,2.2,1.2,24,20,78,0,none,none,safe
2024-01-15 09:15:00,LOC005,Tailings_Dam,Waste_Management,EQ_WM_001,385,8,0.5,12.5,0.8,14,18.2,70,101.8,4.5,0.8,84,30,0,1,low,Tailings_gas_vent,caution
2024-01-15 09:30:00,LOC006,Underground_Shaft_2,Underground,EQ_UG_001,450,25,1.2,18.5,2.1,20,15.5,85,102.5,0.5,1.1,72,12,88,1,high,Ventilation_shaft_seal,critical
2024-01-15 09:45:00,LOC007,Leaching_Tank_3,Hydrometallurgy,EQ_HM_001,405,14,3.2,1.5,4.5,24,32.1,62,100.8,2.8,2.5,36,8,90,1,medium,Tank_valve_connection,warning
2024-01-15 10:00:00,LOC001,Extraction_Zone_A,Open_Pit,EQ_EX_002,415,15,1.0,1.4,0.1,20,23.2,63,101.0,3.0,1.8,42,18,86,0,none,none,safe
2024-01-15 10:15:00,LOC008,Electrowinning_Cell,Refining,EQ_EW_001,390,11,2.8,1.0,0.5,18,38.5,52,100.5,1.5,1.5,30,5,94,0,none,none,safe
2024-01-15 10:30:00,LOC002,Crushing_Station,Processing,EQ_CR_001,428,20,2.3,2.0,0.4,24,29.1,57,100.8,2.4,3.5,48,7,93,0,none,none,caution
2024-01-15 10:45:00,LOC003,Smelter_Unit_1,Smelting,EQ_SM_001,620,52,9.8,2.8,1.5,38,168.5,44,99.6,1.7,3.1,60,3,96,1,high,Smelter_exhaust_system,critical
2024-01-15 11:00:00,LOC009,Flotation_Cell_2,Processing,EQ_FL_001,398,12,1.8,1.3,0.3,17,26.5,60,101.2,2.6,2.2,54,10,89,0,none,none,safe
2024-01-15 11:15:00,LOC004,Refinery_Section_B,Refining,EQ_RF_002,392,9,1.4,1.0,0.2,15,35.8,54,101.4,2.1,1.1,18,22,77,0,none,none,safe
2024-01-15 11:30:00,LOC010,Conveyor_System_4,Transport,EQ_CV_001,402,13,0.7,1.5,0.1,19,24.5,66,101.3,3.5,4.2,66,25,82,0,none,none,safe
2024-01-15 11:45:00,LOC006,Underground_Shaft_2,Underground,EQ_UG_001,465,28,1.4,22.5,2.5,22,15.2,86,102.6,0.4,1.3,72,12,89,1,high,Mine_shaft_ventilation,critical
2024-01-15 12:00:00,LOC011,Acid_Plant,Chemical_Processing,EQ_AP_001,435,16,85.5,1.6,0.6,45,42.5,48,100.2,2.0,1.9,96,35,91,1,critical,Acid_storage_tank,emergency
2024-01-15 12:15:00,LOC005,Tailings_Dam,Waste_Management,EQ_WM_001,388,9,0.6,14.2,0.9,15,18.5,71,101.7,4.6,0.9,84,30,0,1,low,Tailings_pipeline,caution
2024-01-15 12:30:00,LOC007,Leaching_Tank_3,Hydrometallurgy,EQ_HM_001,408,15,3.5,1.6,5.2,25,32.5,61,100.7,2.7,2.7,36,8,91,1,medium,Tank_overflow_valve,warning
2024-01-15 12:45:00,LOC012,Roasting_Furnace,Pyrometallurgy,EQ_PY_001,520,38,12.5,2.2,0.8,32,185.5,40,99.5,1.2,2.4,78,14,97,1,medium,Furnace_door_seal,warning
2024-01-15 13:00:00,LOC001,Extraction_Zone_A,Open_Pit,EQ_EX_001,418,16,1.1,1.5,0.1,21,23.8,62,100.9,2.9,2.0,36,15,87,0,none,none,safe
2024-01-15 13:15:00,LOC008,Electrowinning_Cell,Refining,EQ_EW_001,393,11,3.0,1.0,0.6,19,39.2,51,100.4,1.4,1.6,30,5,95,0,none,none,safe
2024-01-15 13:30:00,LOC013,Grinding_Mill_2,Processing,EQ_GM_001,422,17,1.9,1.7,0.3,23,27.8,59,100.6,2.3,5.8,42,9,88,0,none,none,safe
2024-01-15 13:45:00,LOC003,Smelter_Unit_2,Smelting,EQ_SM_002,450,22,4.5,1.9,0.6,28,155.8,46,99.9,1.9,2.5,24,2,93,0,none,none,caution
2024-01-15 14:00:00,LOC014,Stockpile_Area,Storage,EQ_ST_001,395,10,0.4,8.5,0.2,16,20.5,68,101.6,5.2,0.5,120,45,0,1,low,Stockpile_methane_pocket,caution
2024-01-15 14:15:00,LOC009,Flotation_Cell_2,Processing,EQ_FL_001,400,13,1.9,1.4,0.3,18,26.8,59,101.1,2.5,2.3,54,10,90,0,none,none,safe
2024-01-15 14:30:00,LOC015,Calciner_Unit,Pyrometallurgy,EQ_CA_001,485,30,6.5,2.0,0.7,30,145.2,42,99.7,1.6,2.1,90,20,94,1,low,Calciner_exhaust_duct,caution
2024-01-15 14:45:00,LOC006,Underground_Shaft_3,Underground,EQ_UG_002,442,24,1.1,16.8,1.8,21,14.8,87,102.7,0.3,1.0,48,6,85,1,medium,Shaft_elevator_seal,warning
2024-01-15 15:00:00,LOC004,Refinery_Section_C,Refining,EQ_RF_003,396,10,1.6,1.1,0.2,16,36.2,53,101.3,2.0,1.2,30,18,79,0,none,none,safe
2024-01-15 15:15:00,LOC011,Acid_Plant,Chemical_Processing,EQ_AP_001,445,18,92.5,1.7,0.7,48,43.2,47,100.1,1.9,2.0,96,35,92,1,critical,Acid_scrubber_system,emergency
2024-01-15 15:30:00,LOC016,Waste_Heat_Boiler,Energy_Recovery,EQ_WH_001,425,14,3.8,1.4,0.4,26,125.5,50,100.3,1.8,1.7,108,28,86,0,none,none,safe
2024-01-15 15:45:00,LOC002,Crushing_Station,Processing,EQ_CR_002,430,21,2.4,2.1,0.4,25,29.5,56,100.7,2.3,3.7,36,4,94,0,none,none,caution
2024-01-15 16:00:00,LOC017,Drying_Kiln,Processing,EQ_DK_001,465,26,4.2,3.5,0.5,27,95.5,38,99.8,1.5,2.9,60,11,96,1,low,Kiln_rotary_seal,caution
2024-01-15 16:15:00,LOC005,Tailings_Dam,Waste_Management,EQ_WM_002,390,9,0.6,15.8,1.0,15,18.8,72,101.6,4.7,0.9,72,22,0,1,medium,Tailings_decant_tower,warning
2024-01-15 16:30:00,LOC018,Pelletizing_Plant,Processing,EQ_PP_001,412,15,2.2,1.6,0.3,22,78.5,52,100.5,2.1,3.2,54,8,91,0,none,none,safe
2024-01-15 16:45:00,LOC007,Leaching_Tank_4,Hydrometallurgy,EQ_HM_002,410,16,3.6,1.7,5.8,26,32.8,60,100.6,2.6,2.8,24,3,92,1,high,Tank_bottom_drain,critical
2024-01-15 17:00:00,LOC019,Magnetic_Separator,Processing,EQ_MS_001,405,12,1.2,1.3,0.2,19,25.5,64,101.0,3.0,2.5,66,16,87,0,none,none,safe
2024-01-15 17:15:00,LOC012,Roasting_Furnace,Pyrometallurgy,EQ_PY_001,535,40,13.5,2.3,0.9,34,188.2,39,99.4,1.1,2.6,78,14,98,1,high,Furnace_feed_chute,critical
2024-01-15 17:30:00,LOC020,Thickener_Tank,Processing,EQ_TH_001,398,11,1.0,1.2,0.3,17,24.2,67,101.4,3.3,1.4,84,32,83,0,none,none,safe
2024-01-15 17:45:00,LOC003,Smelter_Unit_1,Smelting,EQ_SM_001,595,48,9.2,2.6,1.3,36,167.8,43,99.7,1.7,3.0,60,3,96,1,medium,Smelter_slag_tap_hole,warning
2024-01-15 18:00:00,LOC021,Bag_Filter_House,Air_Control,EQ_BF_001,408,13,1.5,1.4,0.2,20,28.5,61,100.8,2.4,1.8,102,40,89,0,none,none,safe
2024-01-15 18:15:00,LOC008,Electrowinning_Cell,Refining,EQ_EW_002,395,12,3.1,1.1,0.7,19,39.8,50,100.3,1.3,1.7,18,1,96,0,none,none,caution
2024-01-15 18:30:00,LOC006,Underground_Shaft_2,Underground,EQ_UG_001,478,30,1.5,25.5,2.8,23,14.5,88,102.8,0.2,1.4,72,12,90,1,critical,Ventilation_fan_housing,emergency
2024-01-15 18:45:00,LOC022,Compressor_Station,Utilities,EQ_CS_001,402,11,0.8,1.3,0.1,18,31.5,58,103.5,2.2,6.2,90,25,95,0,none,none,safe
2024-01-15 19:00:00,LOC001,Extraction_Zone_A,Open_Pit,EQ_EX_001,420,17,1.2,1.6,0.1,22,24.2,61,100.8,2.8,2.1,36,15,88,0,none,none,safe
